movie_boxoffice,movie_budget,movie_cast,movie_categories,movie_countries,movie_director,movie_id,movie_imdb_metascore,movie_imdb_nb_of_ratings,movie_imdb_popularity,movie_imdb_rating,movie_length,movie_original_title,movie_poster,movie_production_companies,movie_synopsis,movie_title,movie_url,movie_us_boxoffice,release_date
159618,,"Harry Einhorn, Tandin Wangchuk, Tandin Sonam, Pema Zangmo Sherpa, Tandin Phubz, Deki Lhamo, Yuphel Lhendup Selden, Kelsang Choejay, Choeying Jatsho","Comédie, Drame","Bhoutan, Taïwan, France, États-Unis, Hong Kong",Pawo Choyning Dorji,tt15560314,74,11000,2985,7.3,107, The Monk And The Gun,https://m.media-amazon.com/images/M/MV5BZTNmNDIyOTQtMjkxMy00MzEwLWExODktODZiN2RkNTYzNWQxXkEyXkFqcGdeQXVyNzMzOTQ0ODM@._V1_.jpg,"Dangphu Dingphu: A 3 Pigs Production, CNC Aide aux cinémas du monde - Institut Français, Closer Media","Un Américain se rend au Bhoutan à la recherche d'un fusil antique de grande valeur et croise le chemin d'un jeune moine qui erre dans les montagnes sereines, chargé par son maître de remettre les choses en ordre.",Le Moine Et Le Fusil,https://www.imdb.com/title/tt15560314/?ref_=rlm,156124,07-08-2024
,,"Ilai Swindells, Samara Weaving, Akmal Saleh",Animation,Australie,Alexs Stadermann,tt27722575,,,,,85, 200% Wolf,,Flying Bark Productions,A heroic poodle who is struggling to maintain the respect of his werewolf pack. When a wayward wish transforms him into a werewolf and despots a mischievous fairy on earth,200 % Loup,https://www.imdb.com/title/tt27722575/?ref_=rlm,,25-09-2024
,,"Jackie Chan, Ming-Na Wen, Joshua Jackson, Ralph Macchio, Sadie Stanley, Wyatt Oleff, Aramis Knight, Ben Wang","Action, Drame, Famille",États-Unis,Jonathan Entwistle,tt1674782,,,2726,,, Untitled Karate Kid Movie,https://m.media-amazon.com/images/M/MV5BNjZiZGNiZTUtODI4Yi00ZjlhLTgwNzMtNGU3NmQ3NGMwZjIxXkEyXkFqcGdeQXVyNDM1Nzc0MTI@._V1_.jpg,"Columbia Pictures, Jerry Weintraub Productions, Sony Pictures Releasing",Plot under wraps.,Karate Kid,https://www.imdb.com/title/tt1674782/?ref_=rlm,,18-12-2024
,,"Jack Black, Ariana Greenblatt, Cate Blanchett, Jamie Lee Curtis, Gina Gershon, Haley Bennett, Kevin Hart, Edgar Ramírez, Paula Andrea Placido, Bobby Lee, Janina Gavankar, Cheyenne Jackson, Olivier Richters, Florian Munteanu, Benjamin Byron Davis, Steven Boyer, Ryann Redmond, Charles Babalola","Action, Aventure, Comédie",États-Unis,Eli Roth,tt4978420,,,284,,102,,https://m.media-amazon.com/images/M/MV5BOWZmOTM5YmMtNjliMi00OGRkLWIwNGUtNDI2NTE3NzZmMDdmXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_.jpg,"Lionsgate Films, Media Capital Technologies, Arad Productions",Un long métrage basé sur le jeu vidéo populaire qui se déroule sur la planète fictive abandonnée de Pandora où les gens recherchent une relique mystérieuse.,Borderlands,https://www.imdb.com/title/tt4978420/?ref_=rlm,,07-08-2024
3080591,,"Jimmy O. Yang, J.K. Simmons, Chloe Bennet, Lisa Lu, Sharon Horgan, Catherine Tate, John Cleese, Nick Heath, Naomi McDonald, Rebecca Yeo, Raza Jaffrey, Alexander Rodriguez, Kerry Shale","Animation, Comédie, Famille","États-Unis, Royaume-Uni, Émirats arabes unis",Ross Venokur,tt8417168,,812,,5.2,93, The Silk Road Rally,https://m.media-amazon.com/images/M/MV5BMWMzNjgwY2UtODNmYS00ODk5LWI0MGYtZTM1MTYyNzQzNmYyXkEyXkFqcGdeQXVyMjMwODE4ODI@._V1_.jpg,"Riverstone Pictures, Kintop Pictures, Vanguard Films and Animation",Les coureurs s'affrontent dans un rallye aux enjeux élevés le long de la célèbre route commerciale de la soie.,Les Rois Du Rallye,https://www.imdb.com/title/tt8417168/?ref_=rlm,744169,31-07-2024
163602,,"Harrison Evans, Sylvester Groth, Shirley Henderson, Alice Henley, Jonathan Livingstone, Emily McCormick, Kwaku Mills, Anne Reid, Amber Rose Revah, David Schaal, Rufus Sewell, Alan Tudyk, Indira Varma, Olivia Williams",Comédie,Royaume-Uni,Matt Winn,tt15507128,,163,4794,6.1,89,,https://m.media-amazon.com/images/M/MV5BNWZlNjIyOWQtNDVlMS00MzEyLWI3MWUtMDE3NTRhNTQ1NjRkXkEyXkFqcGdeQXVyMTk4Mzk1NTE@._V1_.jpg,"Bright Pictures, Relevate Ventures, Yes Repeat No","Sarah and Tom are in deep financial trouble. Their situation takes a terrifying nosedive with the shocking behavior of uninvited dinner guest, Jessica.",The Trouble With Jessica,https://www.imdb.com/title/tt15507128/?ref_=rlm,,17-07-2024
,,"Ryan Reynolds, Hugh Jackman, Emma Corrin, Morena Baccarin, Rob Delaney, Karan Soni, Leslie Uggams, Matthew Macfadyen, Josh Brolin, Jennifer Garner, Brianna Hildebrand, Patrick Stewart, Shioli Kutsuna, Aaron Stanford, Lewis Tan, Stefan Kapicic, Tony McCarthy, Terence Hughes","Action, Comédie, Science-fiction","États-Unis, Chine",Shawn Levy,tt6263850,,,86,,,,https://m.media-amazon.com/images/M/MV5BMGI0ZDg3Y2EtYzIyYi00MGYwLThlOGItNWQ5MjMxNDU2ODUzXkEyXkFqcGdeQXVyMTEwMTcxOTAx._V1_.jpg,"Marvel Studios, 20th Century Studios, 21 Laps Entertainment","Le film est prétendu impliquer un autre group dans la mythe des X-Men, au nom de X-Force.",Deadpool & Wolverine,https://www.imdb.com/title/tt6263850/?ref_=rlm,,24-07-2024
,27250000,"Manu Payet, Clara Luciani, Jérôme Niel, Kyan Khojandi, Akil Wingate","Animation, Aventure, Famille","France, Canada","Philippe Duchene, Cuvelier Jean-Baptiste",tt17494412,,,,,,,,"2 Minutes Animation, Caramel Films, PM SA","At the heart of an imaginary world populated by fantastical creatures and dangerous monsters, the 13 year-old Zak goes in search of his twin brother Kyle, who has disappeared mysteriously. Equipped with a magical jade stone whose superpowers he doesn't yet know how to control, he...","Zak & Wowo, La Légende De Lendarys",https://www.imdb.com/title/tt17494412/?ref_=rlm,,10-07-2024
,,"Roschdy Zem, Laëtitia Eïdo, Jeanne Michel, Dimitri Storoge, Frédéric Maranber, Aguibou Ba, Leonid Glushchenko, Sherwan Haji, Nabil Elouahabi, Murat Subasi, Randa Berrouba-Tani",Action,,Florent-Emilio Siri,tt28336131,,,,,,,,"France 2 Cinéma, Orange Studio, Récifilms",A former Special Forces soldier who has become solitary and paranoid since serving Afghanistan and recruited to provide the security for Amina and her daughter Nour.,Elyas,https://www.imdb.com/title/tt28336131/?ref_=rlm,,03-07-2024
141360,,"Leonardo Sbaraglia, Lali Espósito, Julieta Zylberberg, Marcelo Subiotto, Luis Ziembrowski, Andrea Frigerio, Cristina Banegas, Camila Peralta, Alejandra Flechner, Héctor Bidonde, Damián Dreizik, Juan Luppi, Liliana Juárez, Gaspar Offenhenden, Zulema Galperín, Teresa Calandra, Mara Bestelli, Aldo Onofri","Comédie, Drame","Argentine, Italie, Allemagne, France, Brésil","María Alché, Benjamín Naishtat",tt13866866,,543,,6.9,109, Puan,https://m.media-amazon.com/images/M/MV5BYWIxOWJhNzktOGQxMC00MWVjLTliYmUtMGQyYjVlZDliMzBiXkEyXkFqcGdeQXVyMTU3NDU4MDg2._V1_.jpg,"Atelier de Production, Bubbles Project, Infinity Hill","At the University of Buenos Aires, a rivalry arises between two Philosophy teachers for a professorship position.",El Profesor,https://www.imdb.com/title/tt13866866/?ref_=rlm,,03-07-2024
,,"Luke Evans, Sung Kang, Gwei Lun-Mei, Virginia Chien, Wyatt Yang","Action, Thriller",,,tt28142896,,,,,,,,EuropaCorp,Plot under wraps,Weekend Escape Project,https://www.imdb.com/title/tt28142896/?ref_=rlm,,21-08-2024
,,"Megan Northam, Dimitri Doré, Sébastien Pouderoux, Catherine Salée, Sam Louwyck, Roman Williams, Sofia Lesaffre, Nicolas Avinée, Yoann Thibaut Mathias, Arcadi Radeff, Sabine Timoteo, Marie Bray, Christian Bouillette","Aventure, Drame, Science-fiction",France,Jérémy Clapin,tt21247132,,58,,6.6,89,,https://m.media-amazon.com/images/M/MV5BMDhjM2IzNTgtYTA5Ny00ZGIwLWE3MjgtNzA5MDU0MmFhNWFlXkEyXkFqcGdeQXVyMTE5NTM5NTU5._V1_.jpg,"Auvergne Rhône-Alpes Cinéma, Carcadice, France 3 Cinéma","Elsa, 23 ans, n'arrive pas à faire le deuil de son frère aîné, disparu au cours d'une mission spatiale. Un jour, elle est contactée par une forme de vie inconnue qui prétend pouvoir le ramener sur Terre. Mais il y a un prix à payer.",Pendant Ce Temps Sur Terre,https://www.imdb.com/title/tt21247132/?ref_=rlm,,03-07-2024
,,"Chris Pratt, Samuel L. Jackson, Hannah Waddingham, Ving Rhames, Nicholas Hoult, Cecily Strong, Harvey Guillén, Brett Goldstein, Bowen Yang, Snoop Dogg, Dev Joshi, Lynsey Murrell, Luke Cinque-White, Alicia Grace Turrell","Animation, Aventure, Comédie","Royaume-Uni, États-Unis",Mark Dindal,tt5779228,,,486,,, The Garfield Movie,https://m.media-amazon.com/images/M/MV5BNGQ2MTc1MGUtNTIxZS00ZmIwLTkyYWUtMzViM2U5NmEyOWE2XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_.jpg,"Alcon Entertainment, Columbia Pictures, Double Negative (DNEG)",Garfield s'apprête à vivre une aventure sauvage en plein air. Après des retrouvailles inattendues avec son père disparu depuis longtemps - le chat Vic - Garfield et Odie sont contraints d'abandonner leur vie choyée pour rejoindre Vic.,Garfield : Héros Malgré Lui,https://www.imdb.com/title/tt5779228/?ref_=rlm,,17-07-2024
,,"Kader Affak, Souad Arsane, Mostefa Djadjam, Magdalena Laubisch, Hamza Meziani, Karina Testa, Abbes Zahmani",Drame,France,Karim Bensalah,tt31121075,,,,,96, Six Feet Over,https://m.media-amazon.com/images/M/MV5BNDQzMTM0NTAtMWYxZS00MWQ1LWI0NTItYTgxYTcwOWExOTcxXkEyXkFqcGdeQXVyNjM5ODMxODM@._V1_.jpg,"Les Films du Bilboquet, Tact Productions","Son of a former Algerian diplomat Sofiane lived his entire life to this point abroad. Now a student in Lyon, he is the victim of an administrative decision and is living under the threat of expulsion. In the hope of legalizing his situation, he decides to work temporarily for Mus...",Six Pieds Sur Terre,https://www.imdb.com/title/tt31121075/?ref_=rlm,,19-06-2024
,46870000,"Pierre Niney, Anaïs Demoustier, Pierfrancesco Favino, Laurent Lafitte, Oscar Lesage, Anamaria Vartolomei, Vassili Schneider, Julien De Saint Jean, Bastien Bouillon, Patrick Mille, Abde Maziane, Bruno Raffaelli, Olivier Le Montagner, Kurt Laferla, Axel Baille, Françoise Gazio, Jonathan Balzan, Mark Cassar","Action, Aventure, Drame",France,"Alexandre de La Patellière, Matthieu Delaporte",tt26446278,,,,,,,https://m.media-amazon.com/images/M/MV5BODMwZWQ0MDgtMDg4MC00MTEyLTk1YmItMzFiYTBjZDcwNWFiXkEyXkFqcGdeQXVyMTMxMjkyMDY@._V1_.jpg,"Chapter 2, Fargo Films, M6 Films",Une nouvelle adaptation du célèbre roman d'Alexandre Dumas.,Le Comte De Monte-Cristo,https://www.imdb.com/title/tt26446278/?ref_=rlm,,28-06-2024
24520,,"Shin Seok-ho, Ha Seong-guk, Kim Seung-yun, Kim Min-hee",Drame,Corée du Sud,Hong Sang-soo,tt26448971,,305,,6.3,61, Mul-An-E-Seo,https://m.media-amazon.com/images/M/MV5BNWRhYTMzMjAtY2RlNy00NDU0LWJkZDItYjRkYTAzYjFkM2M0XkEyXkFqcGdeQXVyMTg5MDEyNw@@._V1_.jpg,Jeonwonsa Film,"A young actor explores the surroundings, waits for the right light to emerge and watches the horizon from the coast.",In Water,https://www.imdb.com/title/tt26448971/?ref_=rlm,,26-06-2024
,,"Minami Takayama, Rikiya Koyama, Wakana Yamazaki","Animation, Mystère, Romantique",Japon,Chika Nagaoka,tt31474158,,,,,90, Meitantei Konan Hyakuman Doru No Michishirube,https://m.media-amazon.com/images/M/MV5BOTBhOTlkNDctMDg1Zi00MGViLWJhMTUtMTU1OWEyYTUzZjdhXkEyXkFqcGdeQXVyNzAwMjU2MTY@._V1_.jpg,TMS Entertainment,,Détective Conan: L'Étoile À 1 Million De Dollars,https://www.imdb.com/title/tt31474158/?ref_=rlm,,19-06-2024
,,"Yorgos Tsiantoulas, Andreas Labropoulos, Roubini Vasilakopoulou, Nikolaos Mihas, Vasilis Tsigristaris, Jacques Simha, Lena Giaka",Comédie,Grèce,Zacharias Mavroeidis,tt27139897,,102,,7.4,106, To Kalokairi Tis Karmen,https://m.media-amazon.com/images/M/MV5BYjVjYTc4ZjYtMmQ1Zi00NDM2LTgwOWUtMTIzNTRjZmVhY2U1XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_.jpg,"Argonauts Productions S.A., Atalante Productions S.A., Ekome","While having a day-long swim at Athens' queer beach, best friends Demos and Nikitas recall the events of a recent summer in the prospect of turning them into a screenplay for Nikitas' feature debut.",The Summer With Carmen,https://www.imdb.com/title/tt27139897/?ref_=rlm,,19-06-2024
,,"Mathias Legout Hammond, Élodie Bouchez, Jean-Charles Clichet, Céleste Brunnquell, Laly Mercier, Louis Peres, Angèle Metzger, Bakary Diombera, Anne Benoît, Valérie Lemaitre, Bruno Georis, Géraldine Pochon, Mila Ruozo, Noan Lazhar, Suzon Renaud, Cédric Mazzec, Rolland Gervet, Véronique Frumy",Drame,"France, Belgique",Céline Rouzet,tt22986716,,70,,6.8,104,,,"ElianeAntoinette, Reboot Films, Altitude 100 Production","The Feral family plan to look normal and friendly as they move into a new neighborhood. Their son, Philemon gets closer to his new neighbor, Camila and his thirst for blood grows thus his difference becomes impossible to hide.",En Attendant La Nuit,https://www.imdb.com/title/tt22986716/?ref_=rlm,,12-06-2024
,,"Thomas Lemoine, Gaël Tavares, Pierre Lottin, Lionnel Astier, Melissa Izquierdo, Alain Bouzigues, Hichem Yacoubi, Meledeen Yacoubi, Benjamin Baffie, Lotfi Abdelli",Comédie,France,"Dimitri Lemoine, Thomas Lemoine",tt27487494,,,,,,,,"AuldLands Films, AuldLands Films","Mathieu, a young ambitious actor, struggles to put together his showreel. His friend Ousmane offers him a role in his rap music video, but the shoot doesn't go as planned.",La Gardav,https://www.imdb.com/title/tt27487494/?ref_=rlm,,12-06-2024
,,,Animation,Canada,Joël Vaudreuil,tt28337488,,7,,7.0,96,,https://m.media-amazon.com/images/M/MV5BZjQ0YWIwMTAtYjUzZi00YjQ4LTkzOGUtZjAyMTFlZmMxZmY1XkEyXkFqcGdeQXVyMjM1MDc4MzI@._V1_.jpg,Parce Que Films,"Adam is a 15-year-old teenager who has the strange peculiarity of having a body that changes, depending on the teasing and negative comments he receives from those around him. The accumulation of his physical changes just adds a layer to his already complex life.",Adam Change Lentement,https://www.imdb.com/title/tt28337488/?ref_=rlm,,29-05-2024
,50000000,"Bill Skarsgård, Danny Huston, FKA twigs, Laura Birn, Jordan Bolger, Karel Dobrý, Isabella Wei, David Bowles, Sami Bouajila, Dukagjin Podrimaj, Jim High, Paul A Maynard, Sebastian Orozco, Kim Girschner, Baha Chbani","Action, Policier, Fantastique","Royaume-Uni, France, États-Unis",Rupert Sanders,tt1340094,,,49,,,,https://m.media-amazon.com/images/M/MV5BNTNhOTQ3YjMtZGZhNS00NTE0LWEzZGEtYWJhOTU0ZWQ5MTg2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,"Hassell Free Productions, Davis-Films, The Electric Shadow Company","Une réimagination moderne du personnage bien-aimé, The Crow, basée sur le roman graphique original de James O'Barr.",The Crow,https://www.imdb.com/title/tt1340094/?ref_=rlm,,05-06-2024
12806,,"Alejandro Hincapié, Camilo Machado, Alejandro Mendigana, Julian David Moncada, Camilo Najar, Juan Pérez, Sharllot Zodoma, Víctor Gaviria, Theo Montoya, Julian Stevens Arias, Jonathan Leandro Cadavid, Jerónimo Rendón Deossa, Alejandro Duque, Jhonatan Solei Hernández, Tailyn Valencia, Sergio Pérez","Documentaire, Drame","Colombie, Roumanie, France, Allemagne",Theo Montoya,tt21364460,,257,,7.1,75,,https://m.media-amazon.com/images/M/MV5BOGQxOGEzM2UtNDU2Yi00NTY4LTg2M2MtNjk0N2RmYWY2ODY2XkEyXkFqcGdeQXVyMTMwNjQxNDU1._V1_.jpg,"Desvio Visual, Monogram Film, Dublin Films","A funeral car cruises the streets of Medellin, while a young director tells the story of his past in this violent and conservative city. He remembers the pre-production of his first film, a Class-B movie with ghosts.",Anhell69,https://www.imdb.com/title/tt21364460/?ref_=rlm,,29-05-2024
,,"Luke Stratte-McClure, Julien Romano, Catalina Cuevas, Constantin Leu, Charlotte Landoy, Jiahui Chou, Zita Wang, Dylan Louhoungou, Haô Ting, Ghjulia Van Muylders",Thriller,France,Sofiene Mamdi,tt27045130,,,,,92,,https://m.media-amazon.com/images/M/MV5BZjllM2FmOWQtMDNkNi00OGI0LWFlN2EtZTkzODBhYzdjZDJhXkEyXkFqcGdeQXVyMTI2MDUxMzA2._V1_.jpg,Reaficta Films,"Ce soir est la dernière chance pour Alex de changer son destin. Alors qu'il met en œuvre un plan complexe, les personnages louches et les rebondissements inattendus en font un pari périlleux et risqué.",Assemblage,https://www.imdb.com/title/tt27045130/?ref_=rlm,,29-05-2024
93854,,"Arthur, Emma Avena, Amir Baylly, ""Jenny BelAir"", La Bourette, Nathan Callot, Kori Ceballos, Liz Christin, Iris Crosnier, Naëlle Dariya, Tom Dekel, Clara Deshayes, Virginie Despentes, Eleonore, Castiel Emery, Le Filip, Pierre et Gilles, Noam Iroual",Documentaire,France,Paul B. Preciado,tt26448981,86,391,,7.1,98,,https://m.media-amazon.com/images/M/MV5BZTAyZjIzZmEtYjY4Ni00YmRiLWJlODctOTc0OGQ5MDI1ZThmXkEyXkFqcGdeQXVyMTY3ODkyNDkz._V1_.jpg,"24 Images, ARTE, Les Films du Poisson","La politique nous montre que le changement n'est plus seulement une question de genre, mais aussi de poésie, d'amour et de couleur de peau.","Orlando, Ma Biographie Politique",https://www.imdb.com/title/tt26448981/?ref_=rlm,37461,05-06-2024
,,"Dakota Fanning, Olwen Fouéré, Georgina Campbell, Siobhan Hewlett, Alistair Brammer, Hannah Howland, ""Shane ORegan"", Oliver Finnegan, Seán T. Ó Meallaigh, Anthony Morris, Charles Camrose, Jim Tighe, Kya Brame, Hannah Dargan, Eabha Connolly, Emily Dargan, Adam Ashford, Diarmuid de Faoite","Fantastique, Horreur, Mystère",États-Unis,Ishana Shyamalan,tt26736843,,,746,,, The Watchers,https://m.media-amazon.com/images/M/MV5BOTE5ZTY3NzktYmVkNS00NzRhLWI3YzUtNTA3MDVkYmIzMGVmXkEyXkFqcGdeQXVyMjYwNDA2MDE@._V1_.jpg,"Blinding Edge Pictures, Inimitable Pictures, New Line Cinema","Mina, une artiste de 28 ans, se retrouve bloquée dans une vaste forêt immaculée de l'ouest de l'Irlande. Après avoir trouvé un abri, elle se retrouve piégée avec trois étrangers, traqués chaque nuit par de mystérieuses créatures.",Les Guetteurs,https://www.imdb.com/title/tt26736843/?ref_=rlm,,05-06-2024
62981,,"Yang Jae-seong, Kim Seo-hyeong, Mi-won Won, Shin Yun-sook","Policier, Drame, Thriller",Corée du Sud,Lee Sol-hui,tt22489882,,74,,6.6,100,,https://m.media-amazon.com/images/M/MV5BY2E2M2I5YzUtNGYwOC00YzNlLWI5NWUtNTY3YzI0MTNhYzEyXkEyXkFqcGdeQXVyMTE5NTM5NTU5._V1_.jpg,KAFA Films,"A divorced mother works as a caregiver while living in a converted greenhouse, striving to earn enough to move with her middle school son into a real home.",Greenhouse,https://www.imdb.com/title/tt22489882/?ref_=rlm,,29-05-2024
,13124000,"Denis Ménochet, Kacey Rohl, K.C. Collins, Jhaleil Swaby, Laurent Lemaire, Michaëna Benoit, Melissa Toussaint, Pascal Tshilambo, Veronique Verhoeven, Kemware Heru Nethier, Chip Chuipka, Peter Bryant, Philippe Lavalette, Sara Montpetit, Robin T. Rose, Elizabeth Eveillard, Gytana Theobrun, Gillian Doria",Drame,Canada,Anaïs Barbeau-Lavalette,tt18350136,,193,,5.9,96,,https://m.media-amazon.com/images/M/MV5BNjZkYzE2MDYtOWQ3YS00MTI4LTkzZjItZDYwZTExYzFjZWMyXkEyXkFqcGdeQXVyMTM1MDExOTE2._V1_.jpg,Go Films,"Alors que le pays explose après l'assassinat de Martin Luther King, l'écrivain Romain Gary, humaniste et amoureux des animaux, et sa femme, la star Jean Seberg, militante des droits civiques, accueillent chez eux un chien abandonné.",Chien Blanc,https://www.imdb.com/title/tt18350136/?ref_=rlm,,22-05-2024
,,"Giancarlo Esposito, Dan Stevens, Kathryn Newton, Matthew Goode, Kevin Durand, Melissa Barrera, Angus Cloud, Alisha Weir, William Catlett","Horreur, Thriller","Irlande, États-Unis","Matt Bettinelli-Olpin, Tyler Gillett",tt27489557,,,69,,109,,https://m.media-amazon.com/images/M/MV5BY2JlYjlkNzMtNTU3OS00NDVmLTk4NTYtYTM4ZTEwMGM4NDBiXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_.jpg,"Project X Entertainment, Radio Silence Productions, Wild Atlantic Pictures","Après avoir enlevé la fille ballerine d'un puissant personnage de la pègre, un groupe de criminels se réfugie dans un manoir isolé, ignorant qu'ils y sont enfermés avec une petite fille tout ce qu'il y a de plus normal.",Abigail,https://www.imdb.com/title/tt27489557/?ref_=rlm,,29-05-2024
,168000000,"Anya Taylor-Joy, Chris Hemsworth, Charlee Fraser, Nathan Jones, Tom Burke, Angus Sampson, Alyla Browne, Lachy Hulme, Daniel Webber, Nat Buchanan, Spencer Connelly, Goran D. Kleut, Ian Roberts, David Collins, Maleeka Gasbarri, Matuse, Rahel Romahn, Darcy Bryce","Action, Aventure, Science-fiction",Australie,George Miller,tt12037194,,,76,,, Furiosa: A Mad Max Saga,https://m.media-amazon.com/images/M/MV5BNjYxZjY3ZDAtNDc1Mi00YzMxLWI4MWEtNzQwZGExYmMzODFhXkEyXkFqcGdeQXVyNzAwMjU2MTY@._V1_.jpg,"Warner Bros., Kennedy Miller Mitchell","L'histoire de la guerrière renégate Furiosa avant qu'elle ne s'associe à Mad Max dans ""Fury Road"".",Furiosa: Une Saga Mad Max,https://www.imdb.com/title/tt12037194/?ref_=rlm,,22-05-2024
,,"Pawan Malhotra, Jayy Randhawa, Deep Sehgal",Drame,Inde,Maneesh Bhatt,tt31616101,,,,,,,https://m.media-amazon.com/images/M/MV5BNDk1NTE0MTItYmE1NS00YWY0LWJmYTktNzUzOTYyZWNjMTUwXkEyXkFqcGdeQXVyOTc2MTU2MzU@._V1_.jpg,Thind Motion Films,"Daler, whose neck fall on the right side when he's angry, His life took drastic turn when he tries to bring His Pregnant sister back home .",Je Jatt Vigad Gya,https://www.imdb.com/title/tt31616101/?ref_=rlm,,17-05-2024
,,"Handam R. Marak, Balsrame A. Sangma, Celestine K. Sangma, Torikhu A. Sangma",Drame,"Inde, Chine, Suisse, Qatar, Pays-Bas",Dominic Sangma,tt28297544,,101,,6.8,127,,https://m.media-amazon.com/images/M/MV5BNjY1NTI0MGUtM2M1Ny00MGZjLWE0Y2YtODFlMTIwM2ZjZThiXkEyXkFqcGdeQXVyMTQ3Mzk2MDg4._V1_.jpg,"Doha Film Institute, Joicy Studio, Uncombed Buddha","Since the church foretold that an 80-day apocalyptic darkness would come, a community has lived in constant fear of kidnappers. A ten-year-old youngster who is night blind has never found the village to be more frightful.",Rimdogittanga,https://www.imdb.com/title/tt28297544/?ref_=rlm,,15-05-2024
,,"Laurent Bonnet, Joel Gosset, Olivier Gourmet, Dave Johns, Brigitte Poupart, Vanessa Van Durme","Comédie, Drame","Belgique, Canada",David Lambert,tt23183578,,9,,6.9,83,,https://m.media-amazon.com/images/M/MV5BMTNlZDcxYjMtZTk3My00NTBlLTk1MTAtMjUyOTkyNTAzOTlmXkEyXkFqcGdeQXVyMTYyMDQ1OTAz._V1_.jpg,Artémis Productions,"Thom and Henri experienced the joys of gay marriage, but after 35 years together, love turned sour, and it was time for a divorce.",Les Tortues,https://www.imdb.com/title/tt23183578/?ref_=rlm,,15-05-2024
,,"Nisrin Erradi, Jalila Talemsi, Nisrine Benchara, Rayhan Guaran",Aventure,"France, Maroc",Yasmine Benkiran,tt14311482,,94,,7.4,83,,https://m.media-amazon.com/images/M/MV5BY2YzMmYyNzYtOGIzZC00NDcyLTgzNGEtY2UyYzAwNjJkNWIwXkEyXkFqcGdeQXVyMTU0NjQzMTky._V1_.jpg,"Petit Film, Deuxieme Ligne Films, KeyFilm","Casablanca, Morocco. A trio of women, with the police on their tail, embarks on a long escape that takes them across the rugged red terrain and flower-filled valleys of the Atlas to finally reach the Atlantic coast.",Queens,https://www.imdb.com/title/tt14311482/?ref_=rlm,,15-05-2024
,,"Fred Blin, Léonie Dahan-Lamort, Lilith Grasmug, Cyril Metzger, Maxime Rohart",Drame,France,Romain de Saint-Blanquat,tt26245650,,97,,6.7,90,,,Easy Tiger,A Catholic schoolgirl is convinced tonight is her last night on Earth and decides to attend a costume party with her best friend.,La Morsure,https://www.imdb.com/title/tt26245650/?ref_=rlm,,15-05-2024
1981758,,"Ezequiel Rodríguez, Demián Salomón, Silvina Sabater, Luis Ziembrowski, Marcelo Michinaux, Emilio Vodanovich, Virginia Garófalo, Paula Rubinsztein, Lucrecia Nirón Talazac, Isabel Quinteros, Desirée Salgueiro, Federico Liss, Ricardo Velázquez, Jorge Prado, Diego Sampayo, Pedro Larrabide, Cleo Díaz, Agostina Aguilera",Horreur,"Argentine, États-Unis",Demián Rugna,tt16300962,75,30000,260,7.0,99, Cuando Acecha La Maldad,https://m.media-amazon.com/images/M/MV5BMzNkMTA5ZTYtOGEzOC00MmJiLTgxMWYtM2JlZjhlZDVkYWE0XkEyXkFqcGdeQXVyMTczMjkzNDY@._V1_.jpg,"Machaco Films, Aramos Cine, Shudder","Dans un village isolé, deux frères trouvent un homme infecté par un démon sur le point de ""donner naissance"" au mal lui-même. Ils décident de se débarrasser du corps, mais finissent par répandre involontairement le chaos.",When Evil Lurks,https://www.imdb.com/title/tt16300962/?ref_=rlm,546626,15-05-2024
,,"Madelaine Petsch, Ella Bruccoleri, Gabriel Basso, Rachel Shenton, Richard Brake, Ema Horvath, Froy Gutierrez, George Young, Rebecka Johnston, Janis Ahern, Florian Clare, Ben Cartwright, Ryan Bown, Rafaella Biscayn, Brian Law, Milo Callaghan, Miles Yekinni, Brooke Lena Johnson",Horreur,États-Unis,Renny Harlin,tt22050754,,,955,,91, The Strangers: Chapter 1,https://m.media-amazon.com/images/M/MV5BNDVkZTM0NDAtNTQxMS00NWIyLTgyM2ItNjAxOTllYTAzNTVjXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_.jpg,"Fifth Element Productions, Frame Film","Un jeune couple traverse le pays en voiture en quête d'un nouveau départ. Mais ils n'ont d'autre choix que de s'arrêter dans un Airbnb reclus dans l'Oregon, où ils devront endurer une nuit de terreur face à trois inconnus masqués.",The Strangers 3,https://www.imdb.com/title/tt22050754/?ref_=rlm,,15-05-2024
